naive,,,2.837042,14.601279,524,2399,255,95,0,0,3273
neural,[],10,7.22641,4.642339,297,295,1017,14,2,12,1637
neural,[],20,9.226558,5.7162e-2,303,257,1055,9,1,12,1637
neural,[],30,11.194436,5.7953e-2,294,451,866,19,0,7,1637
neural,[],40,13.148341,5.2765e-2,285,664,644,28,0,16,1637
neural,[],50,15.107255,5.1559e-2,281,794,517,31,1,13,1637
neural,[],60,17.161954,6.1746e-2,274,925,395,39,0,4,1637
neural,[],70,19.202294,6.5095e-2,284,856,458,28,1,10,1637
neural,[],80,21.233505,5.3228e-2,271,983,332,42,0,9,1637
neural,[],90,23.240557,4.8373e-2,280,858,463,31,2,3,1637
neural,[],100,17.574371,4.381715,284,917,401,25,1,9,1637
neural,[],200,30.206769,7.5493e-2,275,1086,235,34,1,6,1637
neural,[],300,43.135262,6.3046e-2,274,1086,235,34,2,6,1637
neural,[],400,55.955794,5.0083e-2,274,1086,235,34,2,6,1637
neural,[],500,68.793361,4.9014e-2,274,1086,236,34,2,5,1637
neural,[],600,81.414521,5.379e-2,274,1086,235,34,2,6,1637
neural,[],700,93.862347,5.4358e-2,274,1086,235,34,2,6,1637
neural,[],800,105.820547,4.757e-2,274,1087,235,34,2,5,1637
neural,[],900,117.631442,5.1375e-2,274,1087,234,34,2,6,1637
neural,[],1000,115.498165,3.787275,214,1221,107,89,3,3,1637
neural,[],2000,230.421714,4.9567e-2,215,1221,107,89,2,3,1637
neural,[],3000,340.996189,5.5308e-2,215,1221,107,89,2,3,1637
neural,[],4000,451.727092,5.5351e-2,215,1221,107,89,2,3,1637
neural,[],5000,561.947929,4.6738e-2,215,1221,107,89,2,3,1637
neural,[],6000,674.558549,5.0903e-2,215,1221,107,88,3,3,1637
neural,[],7000,786.284634,5.1497e-2,215,1221,107,88,3,3,1637
neural,[],8000,900.401707,4.9405e-2,215,1221,107,88,3,3,1637
neural,[],9000,1015.733832,5.2818e-2,215,1221,107,88,3,3,1637
neural,[10],10,42.960758,4.442776,307,59,1266,2,0,3,1637
neural,[10],20,76.542052,0.234571,293,0,1203,0,16,125,1637
neural,[10],30,109.419825,0.234823,307,186,1133,2,0,9,1637
neural,[10],40,140.861031,0.241547,304,114,1203,4,1,11,1637
neural,[10],50,172.849696,0.233484,303,135,1166,4,2,27,1637
neural,[10],60,204.674407,0.2265,303,388,937,6,0,3,1637
